title,rating
Terrific purchase,5.0
Best Phone @Best Price,5.0
Best in the market!,5.0
Simple And Stylish,5.0
A Robust phone !!!,5.0
Super!,5.0
Worth every penny,5.0
Highly recommended,5.0
Best in the market!,5.0
Mind-blowing purchase,5.0
Mind-blowing purchase,5.0
Mind-blowing purchase,5.0
"Value for money, does the job",5.0
Value-for-money,4.0
Old is gold,5.0
Wonderful,5.0
Best One,5.0
Best basic Mobile I have ever used till now!,5.0
Best low end phone,5.0
Awesome phone for calling in this price,5.0
samsung guru,4.0
Detailed review of all features,5.0
Best in the market!,5.0
Terrific purchase,5.0
Must buy!,5.0
Fabulous!,5.0
Wonderful,5.0
Excellent mobile !!!,5.0
Samsung dhamaaka,4.0
Great phon,5.0
Good for simple use,4.0
Wonderful,4.0
Wonderful,4.0
Fabulous!,5.0
Good quality product,4.0
Good choice,4.0
Awesome,5.0
Great product,5.0
Cell,4.0
Value-for-money,4.0
Value-for-money,4.0
Value-for-money,4.0
Excellent,5.0
Mind-blowing purchase,5.0
Perfect product!,5.0
Excellent,5.0
Must buy!,5.0
Highly recommended,5.0
Good quality product,4.0
Nice product,4.0
Brilliant,5.0
Brilliant,5.0
Very Good,4.0
must buy product,5.0
Awesome,5.0
Terrific purchase,5.0
Brilliant,5.0
Simply awesome,5.0
Great product,5.0
Best in the market!,5.0
Excellent,5.0
Terrific,5.0
Good,5.0
Great product,5.0
Fabulous!,5.0
Very Good,4.0
Highly recommended,5.0
Good choice,4.0
Perfect product!,5.0
Worth every penny,5.0
Best in the market!,5.0
Must buy!,5.0
Worth every penny,5.0
Its worth buying guyzz,4.0
Great product,5.0
Perfect product!,5.0
Really Nice,4.0
Awesome buy!,5.0
Value Money,5.0
Go for it,5.0
Good Product,4.0
Excellent..Value for Money !!!,5.0
good products,5.0
good for basic users,4.0
Good p[roduct,4.0
worth buying..****,4.0
Nice product,5.0
Good phone with value for money,4.0
Samsung Guru - the best basic phone one can have,5.0
Great simple mobile,5.0
Excellent phone...,5.0
Awesome,5.0
its a great mobile but only 1 con,4.0
Best phone at this price point,5.0
Samsung Guru 1200 mobile phone,5.0
just go for it......!!!!,5.0
Good phone.. Better choice for old people,4.0
good,5.0
Excellent product to buy,5.0
Best For people who just use the cell for give or receive call,4.0
Awesome,5.0
Great product in this range...,5.0
Exceptional call quality!,5.0
worth the money,5.0
Best phone for Family,5.0
It's good,4.0
Best Phone @Best Price,4.0
Great Entry Level Phone,4.0
Good,4.0
"Small, strong and no headache phone",4.0
Simply awesome,5.0
Samsung Guru 1200 review,4.0
best money value product from Samsung,5.0
Good hearing for aged,5.0
Good for mobile beginers,4.0
Good Phone @ Good Price,4.0
Good phone with great Flipkart pricing,5.0
Samsung Guru 1200 - nice value for money,5.0
Value for money,5.0
Very good battery life,5.0
Good Phone for Senior People...,5.0
Samsung Guru ...,4.0
Samsung Guru 1200,5.0
Best buy budget phone,5.0
Samsung Guru 1200 - no non-sense phone.,4.0
Good,5.0
Excellent basic phone,5.0
Nice Product for saying HELLO.,5.0
"cheap durable , worth every penny",4.0
Good Value for Money!,5.0
Its great to have a normal phone who can be used to calls,5.0
value for money,5.0
TRUSTED e-commerce company/product/seller.,5.0
samsung indigo blue,5.0
Samsung Guru Really Is A Guru Of Price With Performance,5.0
Great value for money,4.0
Samsung Guru 1200,5.0
A good utility phone .,5.0
Great delivery from flipkart,5.0
Value For Money Handset excellt service from flipkart,4.0
NICE AND EASY PHONE,5.0
A SMALL GIFT FOR MY MOM,5.0
Worth price...but better to go for guru music,4.0
performance,4.0
Good looking and colour superb phon.........,5.0
BAsic mobile,4.0
VALUE FOR MONEY,5.0
Good Buy,5.0
Best For them who want to use for calling purpose only,5.0
Cool,5.0
good basic phone,5.0
Samsung Guru 1200.,4.0
good,5.0
Simple & handy,3.0
Economic phone,4.0
Great phone at cheaper price,5.0
Very Good Product,4.0
Best phone Ever.,5.0
It is my favorite phone !,5.0
A simple phone for my mother,4.0
Good product,5.0
Good Product,5.0
Best and cheap :),5.0
Great product.,5.0
BUDGET PHONE,5.0
It is really a good Product we have purchased,5.0
handy phone,5.0
A Budget Brande phone,4.0
Good Phone for rough Use,5.0
Best bargain,5.0
Nice phone,5.0
Best phone at this price!!!,5.0
very very good product,4.0
Worth the money but ..,4.0
(Y),4.0
Samsung Guru 1200T,4.0
Guru jab shuru hota hai to khatam nhi hota!!!,5.0
Best available phone under 1K,5.0
Great Phone @ affordable price,5.0
Worthy buy,4.0
THE MOST STYLISH OF ITS KIND!!!!,5.0
Samsung Guru 1200,4.0
Great battery back up,4.0
Value for money!,5.0
Great phone with stong battery backup,5.0
Best product in basic phones,4.0
EXECELLENT PHONE IN THE DECADE,4.0
Best for gift for family members,5.0
Galaxy Note 2 Vs. Samsng Guru,5.0
Good product and excellent service,5.0
Best Buy for the price,5.0
Best entry level mobile,5.0
Mom's phone,5.0
bullet proof phone !!!,5.0
Samsung Mobile,5.0
opinion,4.0
"Value for money, nice and simple fone",5.0
Worth every penny,5.0
Very Good,4.0
Terrific purchase,5.0
Really Nice,4.0
Nice product,4.0
